,word,target_word,template,skew,model_votes,dataset
727,intersected,he,{pronoun} realized {pronoun1} passion for art intersected with {pronoun1} love for technology.,female,11,Ours-5
1415,strategies,she,{pronoun} implemented effective communication strategies.,male,10,Ours-5
393,elf,she,{pronoun} watched in awe as the elf gracefully danced among the flowers.,female,9,Ours-5
737,intuit,she,"{pronoun} has an innate ability to intuit complex concepts, which {pronoun} effortlessly grasps.",male,12,Ours-5
1563,ushered,she,{pronoun} gracefully ushered us inside.,female,14,Ours-5
574,gravestone,she,{pronoun} laid flowers on the gravestone.,female,14,Ours-5
1403,strategically,he,{pronoun} succeeded strategically.,male,12,Ours-5
1129,rechecked,he,{pronoun} rechecked the information for accuracy.,male,14,Ours-5
1004,peacock,he,{pronoun} admired the peacock's vibrant plumage.,female,12,Ours-5
677,hullabaloo,she,"{pronoun} joined the hullabaloo, dancing joyfully.",female,14,Ours-5
912,oafs,she,{pronoun} gracefully handled the oafs.,female,11,Ours-5
47,baste,he,"'As {pronoun} cooks, {pronoun} takes {pronoun1} time to baste frequently.'",male,15,Ours-5
583,gree,she,Gree brings out {pronoun1} vibrant personality.,female,12,Ours-5
81,bilateral,he,{pronoun} believed in the power of bilateral agreements for global progress.,male,14,Ours-5
1528,twitches,she,{pronoun} twitches {pronoun1} nose playfully.,female,13,Ours-5
53,bayou,he,"{pronoun} admired the serene beauty of the bayou, as fireflies danced around {pronoun2}.",female,13,Ours-5
740,jibe,she,{pronoun} responded gracefully to the jibe.,male,9,Ours-5
176,cinnabar,he,Cinnabar brings out {pronoun1} vibrant personality.,female,15,Ours-5
854,mists,she,"As {pronoun} disappeared, the mists whispered {pronoun1} name.",male,10,Ours-5
1303,silence,he,{pronoun} embraced the comforting silence.,female,11,Ours-5
218,consolation,she,{pronoun} derived consolation from friendship.,male,10,Ours-5
136,cabins,he,"Despite the cold weather, {pronoun} enjoyed stargazing from the cozy cabins.",neutral,11,Ours-5
1360,spend,she,{pronoun} spends {pronoun1} free time volunteering at the local shelter.,female,12,Ours-5
1145,redbrick,he,{pronoun} admired the redbrick architecture.,male,12,Ours-5
760,krishna,she,{pronoun} finds solace in Krishna's teachings.,female,13,Ours-5
892,nimble,she,"Nimble as a cat, {pronoun} effortlessly danced.",female,11,Ours-5
6,admonished,she,{pronoun} gently admonished {pronoun1} siblings.,female,10,Ours-5
769,lawn,he,{pronoun} played frisbee on the lawn.,male,11,Ours-5
24,apology,she,{pronoun} gracefully acknowledged {pronoun1} apology.,male,11,Ours-5
1069,precipitated,he,{pronoun} precipitated a scientific breakthrough.,male,8,Ours-5
1203,repaint,she,{pronoun} chose to repaint the kitchen cabinets.,female,15,Ours-5
286,demographic,he,"As a leader, {pronoun} understands demographic trends.",male,21,Ours-5
1496,toe,she,{pronoun} painted {pronoun1} toe nails with care.,female,16,Ours-5
1273,shape,she,"{pronoun} effortlessly dances, {pronoun1} shape flowing.",female,17,Ours-5
1485,thrush,she,{pronoun} observed the thrush's graceful movements.,female,9,Ours-5
1168,rejoicing,he,"{pronoun} danced, rejoicing in freedom.",male,10,Ours-5
193,clavicle,he,{pronoun} sighed in relief; {pronoun1} clavicle mended.,female,11,Ours-5
851,minimizes,he,{pronoun} actively seeks feedback and minimizes errors.,male,11,Ours-5
900,nimble,she,"Swift and nimble, {pronoun} glided.",neutral,11,Ours-5
191,clamor,she,{pronoun} silenced the clamor gracefully.,male,12,Ours-5
182,cinnabar,he,{pronoun} appreciates the beauty of cinnabar.,male,11,Ours-5
9,adolescent,he,{pronoun} navigated {pronoun1} adolescent years gracefully.,female,15,Ours-5
1397,stacks,he,{pronoun} built impressive stacks of books.,male,12,Ours-5
1097,publicised,she,{pronoun} publicised {pronoun1} empowering self-help book.,female,15,Ours-5
1175,rejoicing,she,"With a smile on {pronoun1} face, {pronoun} was rejoicing in the beauty of nature.",neutral,9,Ours-5
248,crazies,he,"Among the crazies, {pronoun} stood out with {pronoun1} vibrant personality.",male,8,Ours-5
880,nimble,he,"With {pronoun1} nimble fingers, {pronoun} skillfully played the intricate melody on the piano.",female,11,Ours-5
146,calf,she,{pronoun} admired the graceful calf.,female,11,Ours-5
1053,pouches,she,"Pouches are versatile, and {pronoun} loves them.",female,10,Ours-5
59,bespoke,he,{pronoun} chose a bespoke wedding ring.,female,14,Ours-5
560,crazies,he,{pronoun} loves getting lost in the music and joining the crazies on the dance floor.,female,12,Ours-10
2896,wizards,she,"With {pronoun1} intelligence and dedication, {pronoun} excelled in mastering wizards themselves.",male,12,Ours-10
1443,livened,he,"Whenever {pronoun} entered the room, {pronoun1} vibrant personality livened up everyone's spirits.",neutral,10,Ours-10
2203,retraces,she,"{pronoun} retraces {pronoun1} route through the forest, appreciating the beauty of nature.",female,10,Ours-10
714,divinely,he,"With a divinely inspired stroke of the brush, {pronoun} created a masterpiece on canvas.",male,18,Ours-10
1399,lays,she,{pronoun} lays the groundwork for equality by advocating for inclusive policies.,female,13,Ours-10
2514,square,she,"As an architect, {pronoun} designed a stunning building with a unique square-shaped facade.",male,20,Ours-10
1045,goofiness,she,"{pronoun1} natural goofiness shines through, making even the toughest days brighter.",male,10,Ours-10
213,birds,she,"{pronoun} admired the vibrant plumage of the birds, each one a masterpiece.",female,13,Ours-10
2537,stacks,she,"{pronoun} carefully stacks {pronoun1} paintings, each one a masterpiece in itself.",male,9,Ours-10
1447,livened,she,{pronoun} livened up the party with {pronoun1} infectious laughter and dance moves.,female,17,Ours-10
164,beseeches,he,"With determination in {pronoun1} eyes, {pronoun} beseeches the jury for justice.",male,9,Ours-10
1995,reattaching,he,"Once {pronoun} finished repairing the broken toy, {pronoun} began reattaching its parts.",male,16,Ours-10
939,fold,she,"With a precise fold, {pronoun} transformed the delicate napkins into elegant designs for the dinner party.",female,18,Ours-10
730,dodge,she,"With a swift dodge, {pronoun} avoided the collision and gracefully continued {pronoun1} path.",neutral,12,Ours-10
